doc_id,sentence_id,token_id,token,lemma,pos
text88,1,2,helpful,helpful,ADJ
text88,2,1,Thanks,thank,NOUN
text88,2,2,bharatagri,bharatagri,VERB
text88,2,3,nice,nice,ADJ
text89,1,5,trusted,trust,VERB
text89,1,6,application,application,NOUN
text89,1,8,thin,thin,ADJ
text89,1,13,application,application,NOUN
text90,1,5,agriculture,agriculture,NOUN
text90,1,6,application,application,NOUN
text90,2,2,services,service,NOUN
text91,2,2,live,live,VERB
text91,2,9,access,access,VERB
text91,3,2,Indian,indian,ADJ
text91,3,5,applicable,applicable,ADJ
text91,4,4,box,box,NOUN
text91,4,9,minute,minute,NOUN
text91,4,10,respond,respond,NOUN
text91,5,2,waited,wait,VERB
text91,5,5,respond,respond,NOUN
text92,1,2,appi,appi,NOUN
text92,1,5,adorable,adorable,ADJ
text92,2,3,awsome,awsome,NOUN
text93,1,7,Nice,nice,ADJ
text93,1,9,refer,refer,NOUN
text93,2,1,Code,code,VERB
text93,2,2,_,_,NOUN
text94,1,1,Bharat,bharat,ADJ
text94,1,2,agri,agri,ADJ
text94,2,1,Accurate,accurate,ADJ
text94,2,2,wheather,wheather,NOUN
text94,2,3,information,information,NOUN
text94,3,2,crops,crop,VERB
text94,3,3,information,information,NOUN
text94,3,5,guide,guide,NOUN
text94,3,6,line,line,NOUN
text94,4,1,Thanks,thank,NOUN
text95,1,2,nice,nice,ADJ
text95,1,3,service,service,NOUN
text95,1,15,kariye,kariye,VERB
text96,1,1,Best,good,ADJ
text96,1,2,agriculture,agriculture,NOUN
text96,2,1,Add,add,VERB
text96,2,2,farm,farm,NOUN
text96,2,3,feature,feature,NOUN
text97,1,1,Excellent,excellent,ADJ
text97,1,4,helpful,helpful,ADJ
text97,1,5,farmars,farmar,NOUN
text98,1,3,nice,nice,ADJ
text98,2,5,sip,sip,NOUN
text98,2,7,line,line,NOUN
text98,2,8,annaru,annaru,NOUN
text98,3,5,questions,question,NOUN
text98,3,7,afternoon,afternoon,NOUN
text99,1,1,Best,good,ADJ
text99,1,2,agriculture,agriculture,NOUN
text99,2,1,Best,good,ADJ
text99,2,2,crop,crop,NOUN
text99,2,3,information,information,NOUN
text100,1,4,Best,good,ADJ
text100,1,5,application,application,NOUN
text100,1,7,agriculturist,agriculturist,NOUN
text100,1,14,information,information,NOUN
text100,1,19,helpful,helpful,ADJ
text101,1,1,Agriculture,agriculture,NOUN
text101,1,2,helping,help,VERB
text101,1,4,vey,vey,VERB
text101,1,9,agriculture,agriculture,NOUN
text101,1,10,apps,app,NOUN
text102,1,8,download,download,VERB
text102,1,10,package,package,NOUN
text102,1,12,practice,practice,NOUN
text102,1,14,pdf,pdf,NOUN
text102,1,17,previous,previous,ADJ
text102,1,18,version,version,NOUN
text102,1,23,helpful,helpful,ADJ
text102,1,25,view,view,VERB
text102,1,27,office,office,NOUN
text103,1,13,information,information,NOUN
text103,1,14,related,relate,VERB
text103,1,17,crop,crop,NOUN
text103,2,6,updated,update,VERB
text103,2,7,information,information,NOUN
text103,2,8,related,relate,VERB
text103,2,10,agriculture,agriculture,NOUN
text103,2,18,feature,feature,NOUN
text104,1,5,perfect,perfect,ADJ
text104,1,9,forming,form,VERB
text105,1,1,एग्री,एग्री,VERB
text105,3,1,nice,nice,ADJ
text106,1,9,increse,increse,ADJ
text106,1,11,yield,yield,NOUN
text107,1,3,nice,nice,ADJ
text107,1,10,production,production,NOUN
text107,1,12,management,management,NOUN
text107,1,15,peek,peek,NOUN
text107,2,3,rating,rate,VERB
text107,2,8,love,love,VERB
text108,1,1,easy,easy,ADJ
text108,1,5,beneficial,beneficial,ADJ
text109,1,5,agriculture,agriculture,NOUN
text109,1,6,apps,app,NOUN
text109,2,2,crop,crop,NOUN
text109,2,3,advisory,advisory,ADJ
text109,2,4,service,service,NOUN
text109,2,7,accurate,accurate,ADJ
text110,1,2,company,company,NOUN
text110,1,6,current,current,ADJ
text110,1,7,satelite,satelite,ADJ
text110,1,8,image,image,NOUN
text110,2,5,image,image,NOUN
text110,2,9,marking,mark,VERB
text110,2,11,green,green,ADJ
text110,3,2,service,service,NOUN
text111,1,1,Helping,help,VERB
text111,2,3,agri,agri,VERB
text111,2,5,osm,osm,ADJ
text111,2,11,nice,nice,ADJ
text112,1,2,amezing,amezing,NOUN
text112,1,7,increse,increse,ADJ
text112,1,8,production,production,NOUN
text112,1,12,life,life,NOUN
text113,1,1,Excellent,excellent,ADJ
text113,1,2,compilation,compilation,NOUN
text113,1,5,information,information,NOUN
text114,1,6,favorite,favorite,ADJ
text114,1,8,tips,tip,NOUN
text114,1,9,provided,provide,VERB
text114,2,4,satisfied,satisfied,ADJ
text114,2,8,application,application,NOUN
text115,5,8,helpful,helpful,ADJ
text115,5,10,people,people,NOUN
text116,1,4,nice,nice,ADJ
text117,1,1,Thanks,thank,NOUN
text117,1,5,wonderful,wonderful,ADJ
text117,2,5,helpful,helpful,ADJ
text118,1,4,short,short,ADJ
text118,1,5,details,detail,NOUN
text119,1,1,Best,good,ADJ
text119,1,2,agriculture,agriculture,NOUN
text119,2,1,Weather,weather,NOUN
text119,2,2,prediction,prediction,NOUN
text119,2,4,crop,crop,NOUN
text119,2,5,information,information,NOUN
text120,1,1,Awesome,awesome,ADJ
text120,1,2,information,information,NOUN
text120,1,3,Nice,nice,ADJ
text120,1,4,appp,appp,NOUN
text121,1,2,crop,crop,NOUN
text121,1,3,advisory,advisory,NOUN
